L1,L2,L3,L4,L5,L6,L7,TNM
27,46,68,121,136,169,186,190
15,59,85,93,140,179,153,214
23,44,71,116,134,173,187,197
27,34,72,130,140,155,194,200
31,36,82,123,138,179,203,199
25,37,58,112,147,135,179,192
25,46,74,136,133,163,199,206
13,44,60,110,156,162,186,197
20,50,56,125,133,170,174,196
27,40,79,119,154,145,212,188
27,41,81,109,135,160,192,201
25,68,75,122,142,145,184,205
32,57,72,114,135,168,166,196
22,51,67,127,157,134,184,201
25,42,71,123,131,172,198,204
26,43,73,126,141,171,189,192
28,66,73,103,158,198,174,192
19,55,84,118,137,172,180,201
22,55,53,123,145,170,192,199
30,51,59,112,125,175,175,196
30,58,78,113,153,190,180,201
29,36,79,128,133,181,182,206
20,19,70,98,149,172,196,211
35,64,82,134,131,156,212,201
35,52,75,107,137,209,189,192
20,52,76,121,154,164,199,203
22,54,77,124,153,158,168,202
30,54,89,115,130,155,196,207
22,38,63,137,143,169,144,205
28,59,56,130,131,170,174,197
18,58,75,111,148,136,184,198
22,51,57,119,142,168,196,202
15,47,54,116,135,164,211,191
26,50,75,117,136,149,205,210
28,55,84,122,142,157,178,207
26,52,99,116,143,185,190,201
30,50,60,118,136,160,189,199
24,56,64,106,145,168,167,198
22,39,77,92,134,163,181,205
16,45,86,127,133,165,176,203
23,51,82,118,143,160,186,206
25,63,81,113,152,179,187,201
33,47,70,125,135,132,196,203
36,52,82,106,140,146,178,195
18,67,77,115,134,179,175,201
27,51,73,121,136,162,207,199
21,62,70,113,152,156,214,197
24,26,68,114,146,147,225,200
34,60,82,132,137,160,209,196
24,59,51,125,146,190,186,198
